22	4839	3
22	6970	3
38	466	1
38	793	1
38	1031	1
38	1614	3
38	4044	1
38	4059	1
38	4839	1
38	10524	1
53	4379	2
53	4560	2
53	4836	2
53	4839	2
53	5924	2
53	10591	2
86	8130	4
86	9308	1
86	11302	2
98	2880	1
98	3657	1
98	8229	1
98	12388	2
103	1031	2
103	5376	1
103	10591	2
103	11215	1
136	12388	2
153	527	1
153	1054	1
153	3715	6
153	6575	1
153	7130	4
153	12068	1
183	3533	2
183	10996	2
183	12388	1
183	13716	2
225	10457	4
280	5561	2
280	6119	1
280	6349	1
280	7947	1
280	8208	2
280	12571	1
280	13030	2
298	2991	2
298	6049	2
298	9384	2
298	13424	2
315	1895	2
315	2996	1
315	4560	1
315	4981	1
315	5424	3
337	907	1
337	1689	1
337	4831	1
337	9872	1
337	10391	1
337	11229	1
337	12559	3
337	13372	1
367	4530	2
367	9534	2
427	1697	2
427	3119	4
453	2929	1
453	6299	1
453	6579	1
466	793	2
466	1614	1
466	4059	1
466	4096	1
466	4379	1
466	4839	3
466	6970	4
466	7385	2
466	8004	1
466	10524	3
466	11155	2
488	2974	1
488	7947	2
527	1054	3
527	3715	3
527	6575	2
527	12068	3
530	1697	2
530	2929	2
530	4091	3
530	6575	1
530	6579	2
530	6584	1
545	703	2
545	2873	5
545	4331	3
545	5976	1
545	7980	1
545	9035	3
545	9733	4
545	10862	4
545	10996	1
545	12419	1
612	1303	2
612	9776	2
612	13543	1
694	914	2
694	1840	2
694	1927	2
694	2029	2
694	2587	2
694	8009	2
694	9086	2
694	9103	1
694	11075	1
703	9035	2
774	1905	3
774	2963	2
774	3575	2
774	4060	1
774	5529	2
774	7857	3
774	8050	2
774	10808	1
774	11221	1
774	12531	1
774	13405	1
774	13953	1
793	1031	1
793	1069	2
793	1072	5
793	1614	1
793	4059	1
793	4839	6
793	6710	1
793	6924	4
793	6970	5
793	7385	4
793	8004	1
793	8256	3
793	8497	4
793	10524	4
793	10591	1
793	11276	4
793	12013	3
793	12731	1
823	1517	1
823	2145	1
823	2891	1
823	6529	1
823	7952	2
823	8071	1
823	9625	3
823	9655	2
823	10353	1
823	13197	1
907	1689	1
907	2010	1
907	4831	5
907	4900	2
907	6216	3
907	7751	2
907	7766	4
907	8857	2
907	9302	2
907	10391	1
907	11075	3
907	12559	1
907	13372	3
911	10719	1
914	1840	2
914	1927	2
914	2029	2
914	2587	2
914	3024	1
914	5165	1
914	8009	2
914	8257	1
914	9086	2
914	9103	1
914	11075	1
942	4828	1
942	9092	2
942	12956	4
960	10458	1
960	12998	2
963	2516	1
963	2582	1
963	2890	4
963	3219	3
963	3479	1
963	4836	2
963	8937	3
963	10473	1
963	10591	1
987	3456	4
987	12088	1
987	13075	4
987	13122	1
1031	1069	1
1031	1614	1
1031	4044	2
1031	4836	2
1031	4839	1
1031	6432	1
1031	6970	1
1031	7385	1
1031	10591	7
1031	11215	1
1031	12731	2
1033	2271	2
1033	4836	2
1033	5924	1
1033	6432	1
1033	9019	2
1033	10591	1
1033	13101	2
1033	13395	1
1052	9384	1
1052	12052	1
1054	3493	2
1054	3715	6
1054	5075	1
1054	6575	2
1054	7768	1
1054	11251	2
1054	12068	3
1069	4091	1
1069	4839	3
1069	6970	4
1069	7385	4
1069	10524	1
1069	10591	1
1069	11155	1
1069	12731	1
1072	6924	4
1072	8256	3
1072	8497	4
1072	11276	4
1072	12013	3
1139	1302	1
1139	2407	2
1139	3781	4
1139	4015	2
1139	7103	4
1254	2808	1
1254	3246	1
1254	4831	3
1254	7751	2
1254	8857	2
1254	11075	1
1254	12095	1
1254	12281	1
1302	2407	1
1302	4015	1
1302	5463	1
1302	6529	1
1302	7952	1
1302	9625	1
1302	10353	1
1302	10386	1
1303	9776	2
1411	4044	2
1411	4831	1
1411	4836	1
1411	10591	1
1411	12095	1
1413	11650	2
1413	12933	3
1482	2607	1
1482	3575	1
1482	5218	2
1482	7508	1
1482	7637	1
1482	8050	3
1482	10294	3
1482	12531	1
1504	5468	1
1504	9354	1
1504	11375	1
1504	13301	1
1517	2145	1
1517	4364	2
1517	5463	3
1517	6529	4
1517	7952	8
1517	9543	5
1517	9625	2
1517	9655	2
1517	10164	1
1517	10353	5
1517	10386	2
1517	10809	1
1517	13197	3
1602	3595	3
1602	3754	2
1602	4862	1
1602	7762	4
1602	8808	1
1602	9671	1
1602	11048	5
1602	12982	2
1602	13499	2
1602	13521	1
1614	4044	1
1614	4059	1
1614	4839	1
1614	10524	1
1658	1963	1
1658	4981	6
1658	6245	1
1658	7989	1
1658	8630	3
1658	9197	1
1658	9849	4
1658	10305	1
1658	13301	1
1688	11196	2
1689	3822	1
1689	4044	4
1689	4831	1
1689	4836	4
1689	5739	2
1689	8951	1
1689	10391	2
1697	2890	1
1697	2929	2
1697	2988	3
1697	3119	4
1697	4091	2
1697	4836	1
1697	5739	1
1697	6575	1
1697	6579	2
1697	6584	1
1697	10591	1
1711	4379	2
1711	10394	1
1729	4839	2
1729	5122	2
1729	7754	2
1729	9816	2
1729	11920	2
1834	4560	2
1834	4765	2
1834	10489	1
1840	1927	3
1840	2029	2
1840	2587	3
1840	8009	2
1840	9086	2
1840	9103	1
1840	9473	1
1840	11075	1
1905	7857	3
1905	13405	1
1927	2029	2
1927	2587	5
1927	5165	2
1927	8009	2
1927	9086	2
1927	9103	1
1927	9473	1
1927	11075	1
1927	11271	2
1948	3575	2
1948	4060	1
1948	5263	1
1948	6369	1
1948	6594	2
1948	10330	1
1956	5118	1
1956	12111	3
1957	6710	2
1957	12214	3
1963	6245	2
1963	7989	2
1963	10305	3
1963	13301	1
1964	13543	2
1974	7227	4
1974	11465	1
1974	12348	1
1974	12980	3
1999	3676	3
1999	4790	3
1999	5534	3
1999	6472	3
1999	7181	3
2010	3099	3
2010	4593	1
2010	4831	4
2010	7766	6
2010	8857	2
2010	9602	2
2010	11075	1
2029	2587	2
2029	7209	3
2029	8009	2
2029	9086	2
2029	9103	1
2029	11075	1
2029	11316	2
2029	13290	2
2055	2589	3
2055	3075	3
2055	3498	3
2055	4934	2
2055	6602	1
2055	7922	3
2055	9462	1
2055	10055	2
2055	11738	1
2069	4296	3
2069	5165	3
2069	8009	2
2069	8257	3
2125	12563	1
2145	4364	1
2145	5463	1
2145	6529	1
2145	7952	3
2145	9625	2
2145	9655	1
2145	10353	1
2145	13197	1
2244	6450	2
2249	2559	1
2249	2880	3
2249	3564	1
2249	3657	2
2249	4683	1
2249	5820	1
2249	7000	2
2249	8616	1
2249	8807	2
2249	9342	1
2249	9658	1
2249	12388	2
2249	12524	2
2271	2890	1
2271	3219	1
2271	4836	3
2271	5924	1
2271	8937	1
2271	9019	2
2271	13101	2
2299	5595	3
2299	8508	2
2299	12594	3
2299	13827	2
2332	3478	3
2332	3575	4
2332	5134	4
2332	6042	4
2332	12109	3
2332	13968	4
2407	4015	3
2409	4793	2
2409	5839	1
2409	12877	1
2425	10857	2
2425	13182	1
2462	3575	3
2462	4060	3
2462	5263	3
2477	2808	1
2477	3246	1
2477	3379	4
2477	4120	1
2477	4831	5
2477	8857	2
2477	9302	1
2477	9602	1
2477	11075	1
2477	12095	1
2502	9103	4
2502	9104	3
2502	10526	7
2502	11208	4
2516	2890	3
2516	3219	3
2516	3479	1
2516	4044	2
2516	4836	2
2516	8937	3
2516	10591	1
2559	2880	2
2559	3657	2
2559	4683	1
2559	7000	1
2559	8807	2
2559	10591	1
2559	12388	2
2559	12524	1
2573	2588	1
2573	3377	1
2573	3786	4
2573	8704	1
2573	8713	3
2573	11302	3
2582	2890	1
2582	10473	1
2587	2631	2
2587	2808	1
2587	4120	1
2587	4489	3
2587	4831	1
