id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
13191	urmimala sarkar	1.0847	0.063	16	4	5	3	93	3.5048	2015.3333	31	1.1683
13194	ursula whiteside	0.0874	-0.1518	2	2	5	3	10	0.314	2016	3.3333	0.1047
13197	ushashree divakar	0.7653	0.2521	8	12	20	4	20	33.7245	2019	5	8.4311
13290	veronique cornelissen	-1.2346	0.6167	6	3	7	3	4	1.0727	2018.3333	1.3333	0.3576
13301	victor j strecher	0.6995	-0.0864	15	10	15	7	628	7.6349	2009.2857	89.7143	1.0907
13362	vivian lo	0.3351	-0.6042	10	3	6	3	201	4.0807	2013	67	1.3602
13372	w brouwer	-0.9708	0.2898	5	5	9	3	408	5.1978	2009.6667	136	1.7326
13385	w kerry mummery	-1.0694	0.6864	6	5	12	4	226	5.631	2013.75	56.5	1.4078
13387	w l d m nelen	-0.2297	-0.4596	4	6	9	3	74	1.5343	2012.6667	24.6667	0.5114
13395	w van mechelen	-0.6075	-0.1121	3	7	7	4	142	3.1304	2012.5	35.5	0.7826
13405	waikit ming	1.2583	0.3861	12	3	3	3	24	4.7219	2018	8	1.574
13424	wanda pratt	0.9717	0.1174	24	4	7	4	150	2.7578	2015.25	37.5	0.6895
13477	wendy l bennett	0.6025	0.0081	1	2	2	3	50	2.7185	2016.6667	16.6667	0.9062
13499	wenying sylvia chou	0.9334	-0.2809	1	5	7	4	1008	16.4037	2012.75	252	4.1009
13521	will l tarver	0.8915	-0.2049	1	5	6	3	11	2.95	2018.6667	3.6667	0.9833
13543	william g dixon	-0.8548	-0.1949	14	3	4	4	66	3.4586	2016.5	16.5	0.8647
13665	xingqiong meng	-0.2675	0.4928	17	3	7	5	57	1.6002	2013.6	11.4	0.32
13691	y alicia hong	-0.1487	-0.279	7	1	2	4	13	7.5607	2018.5	3.25	1.8902
13716	yan leykin	0.2595	0.0677	2	4	8	3	65	1.4656	2012.6667	21.6667	0.4885
13730	yannan jiang	1.315	0.5496	22	3	7	5	172	5.5972	2015.2	34.4	1.1194
13827	ylva trolle lagerros	1.3578	0.6456	22	8	16	8	136	2.6821	2013.5	17	0.3353
13953	yvonne kiera bartlett	1.2227	0.4204	12	2	2	3	41	3.6846	2017	13.6667	1.2282
13968	zarnie khadjesari	1.0081	0.419	12	6	22	4	272	3.4906	2011	68	0.8726
